,Date,Visitor,Visitor_PTS,Home,Home_PTS,Day,Day_Num,Spread,Winner,Home_ELO,Visitor_ELO,Home_TotalWins,Home_TotalLosses,Home_HomeWins,Home_HomeLosses,Home_Streak,Home_CumSpread,Home_AvgSpread,Home_CumPTS,Home_AvgPTS,Home_GamesPlayed,Home_DaysPast,Visitor_TotalWins,Visitor_TotalLosses,Visitor_VisitorWins,Visitor_VisitorLosses,Visitor_Streak,Visitor_CumSpread,Visitor_AvgSpread,Visitor_CumPTS,Visitor_AvgPTS,Visitor_GamesPlayed,Visitor_DaysPast
741,2014-02-07 21:30:00,Minnesota Timberwolves,91,New Orleans Pelicans,98,Fri,6,7,1,1480.1420826333238,1563.02918773805,21,27,12,12,1,-74,-1.5416666666666667,4798,99.95833333333333,48,0,24,25,10,16,-1,203,4.142857142857143,5184,105.79591836734694,49,0
742,2014-02-07 19:30:00,Denver Nuggets,90,New York Knicks,117,Fri,6,27,1,1479.8650173802453,1537.8528513661167,19,30,11,17,-3,-104,-2.122448979591837,4742,96.77551020408163,49,0,24,23,10,12,2,36,0.7659574468085106,4886,103.95744680851064,47,0
743,2014-02-07 19:00:00,Oklahoma City Thunder,102,Orlando Magic,103,Fri,6,1,1,1335.5448505935326,1722.3758589928284,14,37,11,14,1,-286,-5.607843137254902,4906,96.19607843137256,51,0,40,11,18,8,2,389,7.627450980392157,5355,105.0,51,0
744,2014-02-07 19:00:00,Los Angeles Lakers,112,Philadelphia 76ers,98,Fri,6,-14,0,1305.719449237497,1382.1400548086551,15,35,8,17,-4,-439,-8.78,5059,101.18,50,0,17,32,9,19,1,-261,-5.326530612244898,4945,100.91836734693878,49,0
745,2014-02-07 19:00:00,Cleveland Cavaliers,115,Washington Wizards,113,Fri,6,-2,0,1544.7380910563934,1344.1232953684432,24,24,12,12,-1,-12,-0.25,4758,99.125,48,0,16,33,5,20,-6,-307,-6.26530612244898,4716,96.24489795918367,49,0
746,2014-02-08 19:30:00,Memphis Grizzlies,79,Atlanta Hawks,76,Sat,7,-3,0,1526.5637227307209,1590.4826421566374,25,23,16,8,-2,66,1.375,4928,102.66666666666667,48,0,26,22,13,8,-2,8,0.16666666666666666,4584,95.5,48,0
747,2014-02-08 19:00:00,San Antonio Spurs,104,Charlotte Bobcats,100,Sat,7,-4,0,1439.9136193657191,1651.057211726655,22,28,11,13,1,-130,-2.6,4717,94.34,50,0,36,14,18,6,-1,329,6.58,5193,103.86,50,0
748,2014-02-08 19:30:00,Denver Nuggets,109,Detroit Pistons,126,Sat,7,17,1,1414.4681586779109,1513.094096971263,20,29,10,15,1,-126,-2.5714285714285716,4906,100.12244897959184,49,0,24,24,10,13,-1,9,0.1875,4976,103.66666666666667,48,0
749,2014-02-08 20:30:00,Houston Rockets,101,Milwaukee Bucks,95,Sat,7,-6,0,1292.5063989221212,1627.727029323453,9,40,5,18,-1,-469,-9.571428571428571,4520,92.24489795918367,49,0,33,17,12,10,4,192,3.84,5270,105.4,50,0
750,2014-02-08 20:00:00,Portland Trail Blazers,117,Minnesota Timberwolves,110,Sat,7,-7,0,1551.9092756718644,1585.8145351315281,24,26,14,9,-2,196,3.92,5275,105.5,50,0,35,15,16,10,-1,221,4.42,5389,107.78,50,0
751,2014-02-08 21:00:00,Golden State Warriors,109,Phoenix Suns,122,Sat,7,13,1,1564.4643764068314,1622.9480442156253,29,20,16,8,-2,150,3.061224489795918,5132,104.73469387755102,49,0,30,20,15,11,1,215,4.3,5147,102.94,50,0
752,2014-02-08 21:00:00,Miami Heat,89,Utah Jazz,94,Sat,7,5,1,1434.1439097590278,1647.1030430182811,16,33,10,14,-4,-335,-6.836734693877551,4610,94.08163265306122,49,0,35,13,15,9,3,259,5.395833333333333,5008,104.33333333333333,48,0
753,2014-02-09 18:00:00,Dallas Mavericks,102,Boston Celtics,91,Sun,1,-11,0,1416.5588137625941,1579.6683062282252,18,33,11,15,3,-183,-3.588235294117647,4849,95.07843137254902,51,0,30,21,12,13,4,121,2.372549019607843,5337,104.6470588235294,51,0
